Product ID;Product Title;Impressions;Clicks;CTR;Spend;Conversions;Conversion Value;ROAS;Custom Label 4
shopify_DE_7214458667096_40032410861656;BRIGHT Leuchtend Reflektierender American Football;2998;8;0,00266844563042028;10,44;0;0;0;turtle
shopify_DE_7214458667096_40032410861656;BRIGHT Football américain holographique avec effet lumineux;1489;5;0,00335795836131632;2,01;0;0;0;turtle
shopify_DE_78572672016709_46750992662853;BRIGHT Holografischer Rugby-Ball mit Leuchteffekt;2595;3;0,00115606936416185;0,519618;0;0;0;turtle
shopify_DE_8588145525061_46805687599429;BRIGHT Lysande Holografiska Ärmar;1552;16;0,0103092783505155;5,43;0;0;0;turtle
shopify_DE_8588145525061_46805687599429;BRIGHT Holographisch Reflektierende Armstulpen;1540;9;0,00584415584415584;5,48;0;0;0;turtle
shopify_DE_8588145525061_46805687599429;BRIGHT Manchons de bras lumineux holographiques;4035;43;0,0106567534076828;10,69;2;0,0000657;0;turtle
shopify_DE_8588145525061_46805687599429;BRIGHT Holografische Lichtgevende Sleeves;5364;40;0,00745712155108128;21,48;0;0;0;turtle
shopify_DE_8588145525061_46805687599429;BRIGHT Holographic Luminous Arm Sleeves;12615;137;0,0108600871977804;45,048138;3,016174;0,000065174480433;0;zombie
shopify_DE_6842527055960_39700555169880;BRIGHT Handpomp voor Ballen;79;0;0;0;0;0;0;bird
shopify_DE_6842527055960_39700555169880;BRIGHT Bollpump;315;2;0,00634920634920635;0,7;0;0;0;turtle
shopify_DE_6842527055960_39700555169880;BRIGHT Ball Hand Pump;1908;2;0,0010482180293501;0,080403;0;0;0;turtle
shopify_DE_6842527055960_39700555169880;BRIGHT Pumpe für Bälle;82;1;0,0121951219512195;0,01;0;0;0;turtle
shopify_DE_6842527055960_39700555169880;BRIGHT Pompe à main pour ballon;27;0;0;0;0;0;0;bird
shopify_DE_76753116520536_39599174615128;BRIGHT Holographischer Volleyball mit Leuchteffekt;5864;28;0,00477489768076398;15,328974;0;0;0;turtle
shopify_DE_78609693827397_46904453300549;BRIGHT Rutschfeste Socken | Schwarz | Von Profisportlern empfohlen;64;0;0;0;0;0;0;bird
shopify_DE_77214458667096_40032410861656;BRIGHT Holografischer American Football mit Leuchteffekt;2748;13;0,00473071324599709;3,475869;0;0;0;turtle
shopify_DE_test1_4604248653912_32810663510104;Lysande Holografisk Fotboll | Lyser i Mörkret;9595;61;0,00635747785304846;42,88;2;0,000069560429655;0;zombie
shopify_DE_4604248653912_32810663510104;BRIGHT Lichtgevende Holografische Voetbal;21601;489;0,0226378408407018;70,99;2;0,00010088;0;zombie
shopify_DE_4604248653912_32810663510104;BRIGHT Luminous Holographic Football;43190;371;0,00858995137763371;167,995633;10,605258;0,000452521109148;0;zombie
shopify_DE_4604248653912_32810663510104;BRIGHT Lysande Holografisk Fotboll;3376;24;0,00710900473933649;10,15;1;0,000040902118348;0;turtle
shopify_DE_4604248653912_32810663510104;BRIGHT Luminous Holographic Soccer Ball;20704;257;0,0124130602782071;178,88;11,161624;0,000458338045728;0;zombie
shopify_DE_4604248653912_32810663510104;BRIGHT Leuchtend Reflektierender Fussball;37970;332;0,00874374506189097;374,85;20,571244;0,001161645677006;0;zombie
shopify_DE_4604248653912_32810663510104;BRIGHT Football Holographique Avec Effet Lumineux;6031;58;0,00961697894213232;10,67;0;0;0;turtle
shopify_DE_76842527055960_39700555169880;BRIGHT Ballhandpumpe;735;5;0,00680272108843537;0,531476;0;0;0;turtle
shopify_DE_78609693827397_46904453366085;BRIGHT Rutschfeste Socken | Kinder (7-12 Jahre alt) | Schwarz;645;7;0,0108527131782946;0,920145;0;0;0;turtle
shopify_DE_8609693827397_46904453366085;BRIGHT Grip Socks | Kids (7-12 yrs old) | Black;836;3;0,00358851674641148;2;0;0;0;turtle
shopify_DE_8609693827397_46904453366085;BRIGHT Grip Socken | Kinder (7-12 Jahre alt) | Schwarz;46;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46904453366085;BRIGHT Chaussettes antidérapantes | Enfants (7-12 ans) | Noir;37;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46904453366085;BRIGHT Grip Sokken | Kinderen (7-12 jaar) | Zwart;117;1;0,00854700854700855;0,36;0;0;0;turtle
shopify_DE_8609693827397_46904453366085;BRIGHT Greppstrumpor | Barn (7-12 år) | Svarta;333;2;0,00600600600600601;0,5;0;0;0;turtle
shopify_DE_74808300396632_33466902544472;BRIGHT Holografischer Basketball mit Leuchteffekt;20730;123;0,00593342981186686;39,288231;0;0;0;zombie
shopify_DE_8572672016709_46750992662853;BRIGHT Lichtgevende Holografische Rugbybal;1073;3;0,00279589934762349;0,58;0;0;0;turtle
shopify_DE_8572672016709_46750992662853;BRIGHT Leuchtend Reflektierender Rugby-Ball;1180;4;0,00338983050847458;5,66;1;0,000043010691025;0;turtle
shopify_DE_8572672016709_46750992662853;BRIGHT Lysande Holografisk Rugbyboll;444;1;0,00225225225225225;0,76;0;0;0;turtle
shopify_DE_8572672016709_46750992662853;BRIGHT Ballon de rugby holographique avec effet lumineux;1160;11;0,00948275862068966;8,29;0;0;0;turtle
shopify_DE_8572672016709_46750992662853;BRIGHT Luminous Holographic Rugby Ball;24607;128;0,00520177185353761;87,730066;2;0,000083711971593;0;zombie
shopify_DE_78605017309509_46880640008517;BRIGHT Nachtsichtbrille;2689;6;0,00223131275567125;1,22;0;0;0;turtle
shopify_DE_8609693827397_46904453333317;BRIGHT Chaussettes antidérapantes | Enfants (7-12 ans) | Blanc;46;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46904453333317;BRIGHT Grip Socks | Kids (7-12 yrs old) | White;2031;6;0,00295420974889217;1,590908;0;0;0;turtle
shopify_DE_8609693827397_46904453333317;BRIGHT Grip Sokken | Kinderen (7-12 jaar) | Wit;33;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46904453333317;BRIGHT Greppstrumpor | Barn (7-12 år) | Vita;41;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46904453333317;BRIGHT Grip Socken | Kinder (7-12 Jahre alt) | Weiß;29;0;0;0;0;0;0;bird
shopify_DE_test_4604248653912_32810663510104;Självlysande Fotboll - Present till Pojkar 5-10 år;5714;29;0,00507525376268813;28,4;0;0;0;turtle
shopify_DE_6753116520536_39599174615128;BRIGHT Ballon de volley holographique avec effet lumineux;4850;18;0,00371134020618557;7,55;0;0;0;turtle
shopify_DE_6753116520536_39599174615128;BRIGHT Lichtgevende Holografische Volleybal;841;4;0,00475624256837099;1,81;0;0;0;turtle
shopify_DE_6753116520536_39599174615128;BRIGHT Lysande Holografisk Volleyboll;1170;5;0,00427350427350427;1,92;0;0;0;turtle
shopify_DE_6753116520536_39599174615128;BRIGHT Luminous Holographic Volley Ball;40308;225;0,00558201845787437;192,287259;2,733333;0,000198690214942;0;zombie
shopify_DE_6753116520536_39599174615128;BRIGHT Leuchtend Reflektierender Volleyball;4873;24;0,00492509747588754;34,44;0,428756;0,000022523516521;0;zombie
shopify_DE_78588145525061_46805687599429;BRIGHT Holographisch leuchtende Armstulpen;2285;22;0,00962800875273523;7,96;0;0;0;turtle
shopify_DE_8609693827397_46904453300549;BRIGHT Greppstrumpor | Svarta | Rekommenderade av Professionella Idrottsmän;94;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46904453300549;BRIGHT Grip Socken | Schwarz | Erprobt von Profisportlern;58;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46904453300549;BRIGHT Grip Socks | Black | Aprooved by Pro Athletes;3104;11;0,00354381443298969;3,695825;0;0;0;turtle
shopify_DE_8609693827397_46904453300549;BRIGHT Grip Sokken | Zwart | Goedgekeurd door Pro Atleten;78;1;0,0128205128205128;0,51;0;0;0;turtle
shopify_DE_8609693827397_46904453300549;BRIGHT Chaussettes antidérapantes | Noir | Recommandé par les athlètes professionnels;635;4;0,0062992125984252;1,32;0;0;0;turtle
shopify_DE_8609693827397_46904453333398;BRIGHT Glowing Holographic Netball;20409;127;0,00622274486746043;120,297496;3,8;0,000175794771776;0;zombie
shopify_DE_78609693827397_46904453333317;BRIGHT Rutschfeste Socken | Kinder (7-12 Jahre alt) | Weiß;251;5;0,0199203187250996;0,911365;0;0;0;turtle
shopify_DE_74604248653912_32810663510104;BRIGHT Holographischer Fußball mit Leuchteffekt;12355;136;0,011007689194658;55,573571;3;0,00019171;0;zombie
shopify_DE_4808300396632_33466902544472;BRIGHT Lysande Holografisk Basketboll;5771;34;0,00589152659850979;12,23;0;0;0;turtle
shopify_DE_4808300396632_33466902544472;BRIGHT Leuchtend Reflektierender Basketball;10542;49;0,00464807436918991;35,82;1;0,00005389113245;0;zombie
shopify_DE_4808300396632_33466902544472;BRIGHT Basketball holographique avec effet lumineux;18618;86;0,00461918573423569;23,81;0;0;0;turtle
shopify_DE_4808300396632_33466902544472;BRIGHT Lichtgevende Holografische Basketball;2689;23;0,00855336556340647;8,54;0;0;0;turtle
shopify_DE_4808300396632_33466902544472;BRIGHT Luminous Holographic Basket Ball;155793;747;0,00479482390094549;449,134968;13,5;0,000770121785607;0;zombie
shopify_DE_78340685259077_46368677429573;BRIGHT LED-Golfbälle mit Leuchtfunktion | 50+ Stunden Batterie;3712;36;0,00969827586206897;25,797378;1;0,0000429;0;turtle
shopify_DE_78609693827397_46898912362821;BRIGHT Rutschfeste Socken | Weiß | Von Profisportlern empfohlen;519;2;0,00385356454720617;0,212034;0;0;0;turtle
shopify_DE_8340685259077_46368677429573;BRIGHT Leuchtende Golfbälle | 50+ Stunden Batterie;1973;9;0,00456158134820071;7,25;0;0;0;turtle
shopify_DE_8340685259077_46368677429573;BRIGHT LED Glow Golfballen | 50+ Uur Batterij;4155;30;0,0072202166064982;21,27;0;0;0;turtle
shopify_DE_8340685259077_46368677429573;BRIGHT Golfbollar med LED-glöd | Över 50 Timmars Batteritid;5483;35;0,00638336677001641;18,74;0;0;0;turtle
shopify_DE_8340685259077_46368677429573;BRIGHT LED Glow Golf Balls | 50+ Hours Battery;6859;84;0,0122466831899694;34,219904;0;0;0;zombie
shopify_DE_8340685259077_46368677429573;BRIGHT Balles de golf lumineuses à LED | Batterie de 50+ heures;2759;24;0,00869880391446176;10,31;0;0;0;turtle
